Council Member Name,Expense Type,Amount,Transaction Date,Description
Councillor Geoff Meggs,Parking & Transportation Expenses,$9.45 ,2/15/2013,Taxi - Feb 15/13
Councillor Geoff Meggs,Parking & Transportation Expenses,$19.70 ,2/17/2013,Taxi - Feb 17/13
Councillor Geoff Meggs,Parking & Transportation Expenses,$8.62 ,2/17/2013,Taxi - Feb 17/13
Councillor Geoff Meggs,Parking & Transportation Expenses,$11.13 ,2/26/2013,Taxi - Feb 26/13
Councillor Geoff Meggs,Parking & Transportation Expenses,$12.22 ,3/1/2013,Taxi - Mar 1/13
Councillor Geoff Meggs,Parking & Transportation Expenses,$10.95 ,3/6/2013,Taxi - Mar 6/13
Councillor Geoff Meggs,Parking & Transportation Expenses,$10.86 ,3/6/2013,Taxi - Mar 6/13
Councillor Geoff Meggs,Parking & Transportation Expenses,$73.52 ,3/7/2013,Transportation Expense: Co-Op Car - Feb 2013
Councillor Geoff Meggs,Parking & Transportation Expenses,($73.52),3/7/2013,Transportation Expense: Co-Op Car - Feb 2013
Councillor Geoff Meggs,Parking & Transportation Expenses,$12.40 ,3/8/2013,Taxi - Mar 8/13
Councillor Geoff Meggs,Parking & Transportation Expenses,$22.17 ,3/8/2013,Taxi - Mar 8/13
Councillor Geoff Meggs,Parking & Transportation Expenses,$14.58 ,3/8/2013,Taxi - Mar 8/13
Councillor Geoff Meggs,Parking & Transportation Expenses,$9.04 ,3/11/2013,Taxi - Mar 11/13
Councillor Geoff Meggs,Parking & Transportation Expenses,$10.22 ,3/13/2013,Taxi - Mar 13/13
Councillor Geoff Meggs,Parking & Transportation Expenses,$13.95 ,3/14/2013,Taxi - Mar 14/13
Councillor Geoff Meggs,Parking & Transportation Expenses,$11.67 ,3/14/2013,Taxi - Mar 14/13
Councillor Geoff Meggs,Parking & Transportation Expenses,$56.89 ,3/15/2013,Co-Op Car - Feb 2013
Councillor Geoff Meggs,Parking & Transportation Expenses,$13.49 ,3/16/2013,Taxi - Mar 16/13
,Parking & Transportation Expenses Total,$473.90 ,,
Councillor Geoff Meggs,Travel & Training Expenses,$719.51 ,2/14/2013,"FCM Annual Conference and Trade Show Vancouver, BC May 31-Jun 3/13 (Registration)"
,Travel & Training Expenses Total,$719.51 ,,
Councillor Andrea Reimer,Business and Event Expenses,$35.00 ,1/4/2013,Community Event:  2013 Spring Festival Celebration Gala Admission Fee (Feb 17/13)
Councillor Andrea Reimer,Business and Event Expenses,$30.89 ,1/9/2013,Community Event: King Lear Feb 1/13
Councillor Andrea Reimer,Business and Event Expenses,$45.42 ,1/9/2013,Community Event: First Call Fundraising Dinner Jan 31/13
Councillor Andrea Reimer,Business and Event Expenses,$59.06 ,1/9/2013,Community Event: Gung Haggis Fat Choy Dinner Jan 27/13
Councillor Andrea Reimer,Business and Event Expenses,$12.08 ,1/9/2013,Community Event: Vancouver I Love You But... Jan 25/13
Councillor Andrea Reimer,Business and Event Expenses,$29.35 ,1/10/2013,Entertainment expenses in a hosting capacity Jan 10/13
Councillor Andrea Reimer,Business and Event Expenses,$22.86 ,1/11/2013,Entertainment expenses in a hosting capacity Jan 11/13
Councillor Andrea Reimer,Business and Event Expenses,$20.24 ,1/31/2013,Entertainment expenses in a hosting capacity Jan 31/13
Councillor Andrea Reimer,Business and Event Expenses,$65.00 ,2/6/2013,Community Event: An Evening Honouring Fred Mah Mar 9/13
Councillor Andrea Reimer,Business and Event Expenses,$26.90 ,2/7/2013,Entertainment expenses in a hosting capacity Feb 7/13
Councillor Andrea Reimer,Business and Event Expenses,$84.30 ,2/9/2013,Community Event: West Coast LEAF Equality Breakfast Mar 5/13
Councillor Andrea Reimer,Business and Event Expenses,$37.92 ,2/21/2013,Entertainment expenses in a hosting capacity Feb 21/13
Councillor Andrea Reimer,Business and Event Expenses,$50.00 ,2/27/2013,Community Event: Fundraiser for Queen Alexandra Elementary School Apr 26/13
Councillor Andrea Reimer,Business and Event Expenses,$30.00 ,3/4/2013,Community Event: Retirement Dinner May 3/13
Councillor Andrea Reimer,Business and Event Expenses,$116.34 ,3/12/2013,Community Event: Women Transforming Cities May 30/13
Councillor Andrea Reimer,Business and Event Expenses,$19.61 ,3/14/2013,Entertainment expenses in a hosting capacity Mar 14/13
Councillor Andrea Reimer,Business and Event Expenses,$30.00 ,3/21/2013,"Community Event:  Fred Mah Tribute, Apr 5/13"
,Business and Event Expenses Total,$714.97 ,,
Councillor Andrea Reimer,Education and Supplies Expenses,$6.16 ,1/2/2013,Monthly Hootsuite subscription
Councillor Andrea Reimer,Education and Supplies Expenses,$6.25 ,2/2/2013,Monthly Hootsuite subscription
Councillor Andrea Reimer,Education and Supplies Expenses,$73.60 ,2/3/2013,Chinese Language Training
Councillor Andrea Reimer,Education and Supplies Expenses,$6.46 ,3/2/2013,Monthly Hootsuite subscription
,Education and Supplies Expenses Total,$92.47 ,,
Councillor Andrea Reimer,Parking & Transportation Expenses,$4.54 ,1/25/2013,Parking: Jan 25/13  
Councillor Andrea Reimer,Parking & Transportation Expenses,$13.86 ,1/29/2013,Taxi: Jan 29/13
Councillor Andrea Reimer,Parking & Transportation Expenses,$17.77 ,1/31/2013,Taxi: Jan 31/13
Councillor Andrea Reimer,Parking & Transportation Expenses,$15.85 ,2/8/2013,Taxi: Feb 8/13
Councillor Andrea Reimer,Parking & Transportation Expenses,$14.54 ,3/13/2013,Taxi: Mar 13/13
,Parking & Transportation Expenses Total,$66.56 ,,
Councillor Andrea Reimer,Travel & Training Expenses,$874.46 ,1/4/2013,"TCV#CLRAR015: FCM Sustainable Communities Conference (SCC), Windsor, ON (airfare)"
Councillor Andrea Reimer,Travel & Training Expenses,$36.63 ,1/5/2013,"TCV#CLRAR015 Sustainable Communities Conference, Windsor, ON (airfare)"
Councillor Andrea Reimer,Travel & Training Expenses,$30.48 ,2/9/2013,"TCV#CLRAR015: FCM Sustainable Communities Conference, Windsor, ON (transportation)"
Councillor Andrea Reimer,Travel & Training Expenses,$96.50 ,2/11/2013,"TCV#CLRAR015: FCM Sustainable Communities Conference, Windsor, ON (transportation)"
Councillor Andrea Reimer,Travel & Training Expenses,$732.23 ,2/12/2013,"TCV#CLRAR015: FCM Sustainable Communities Conference, Windsor, ON (registration)"
Councillor Andrea Reimer,Travel & Training Expenses,$304.89 ,2/15/2013,"TCV#CLRAR015: FCM Sustainable Communities Conference, Windsor, ON (hotel)"
Councillor Andrea Reimer,Travel & Training Expenses,$13.86 ,2/19/2013,"TCV#CLRAR015: FCM Sustainable Communities Conference, Windsor, ON (meal)"
Councillor Andrea Reimer,Travel & Training Expenses,$8.14 ,2/22/2013,"TCV#CLRAR015: FCM Sustainable Communities Conference, Wndsor, ON (meal)"
Councillor Andrea Reimer,Travel & Training Expenses,$687.72 ,3/8/2013,"FCM Annual Conference and Trade Show, May 31-Jun 3/13, Vancouver, BC (registration)"
Councillor Andrea Reimer,Travel & Training Expenses,$254.38 ,3/12/2013,"TCV#CLRAR017: LMLGA Conference & AGM, May 8-10/13, Harrison Hot Springs, BC (registration)"
Councillor Andrea Reimer,Travel & Training Expenses,($106.22),3/13/2013,"TCV#CLRAR015: FCM Sustainable Communities Conference, Windsor, ON (transportation reimbursement)"
,Travel & Training Expenses Total,"$2,933.07 ",,
Councillor Tim Stevenson,Business and Event Expenses,$37.91 ,1/8/2013,"Entertainment Expense in a Hosting Capacity: Tropika, Jan 8/13"
Councillor Tim Stevenson,Business and Event Expenses,$77.22 ,1/11/2013,"Community Event: CCPA-BC Fundraiser Gala, Jan 11/13"
Councillor Tim Stevenson,Business and Event Expenses,$65.00 ,2/5/2013,Community Event:  An Evening Honouring Fred Mah - Mar 9/2013
Councillor Tim Stevenson,Business and Event Expenses,$30.00 ,3/5/2013,Community Event: Retirement Dinner - May 3/13
Councillor Tim Stevenson,Business and Event Expenses,$38.20 ,1/24/2013,Entertainment Expense in a Hosting Capacity: Jan 24/13
Councillor Tim Stevenson,Business and Event Expenses,$73.09 ,2/7/2013,Entertainment Expense in a Hosting Capacity: Feb 07/13
Councillor Tim Stevenson,Business and Event Expenses,$61.64 ,2/20/2013,Entertainment Expense in a Hosting Capacity: Feb 20/13
,Business and Event Expenses Total,$383.06 ,,
Councillor Tim Stevenson,Parking & Transportation Expenses,$17.03 ,1/21/2013,Parking - Jan 21/13
Councillor Tim Stevenson,Parking & Transportation Expenses,$13.62 ,2/12/2013,Parking expense incorrectly charge to Travel
Councillor Tim Stevenson,Parking & Transportation Expenses,($13.62),2/12/2013,Parking expense incorrectly charge to Travel
Councillor Tim Stevenson,Parking & Transportation Expenses,$8.18 ,2/18/2013,Parking - Feb 18/13
,Parking & Transportation Expenses Total,$25.21 ,,
Councillor Tim Stevenson,Travel & Training Expenses,$166.67 ,9/18/2012,TCV# CLRTS52: *Trip Cancelled* UBCM-Victoria (09/24-09/28)
Councillor Tim Stevenson,Travel & Training Expenses,$471.36 ,1/29/2013,"TCV#CLRTS53: FCM Board Meeting, Prince George, March 6-9 (Airfare)"
Councillor Tim Stevenson,Travel & Training Expenses,$14.75 ,1/30/2013,"TCV#CLRTS53: FCM Board Meeting, Prince George, March 6-9 (Airfare)"
Councillor Tim Stevenson,Travel & Training Expenses,$32.56 ,1/30/2013,"TCV#CLRTS53: FCM Board Meeting, Prince George, March 6-9 (Airfare)"
Councillor Tim Stevenson,Travel & Training Expenses,$13.62 ,2/12/2013,Parking expense incorrectly charge to Travel
Councillor Tim Stevenson,Travel & Training Expenses,($13.62),2/12/2013,Parking expense incorrectly charge to Travel
Councillor Tim Stevenson,Travel & Training Expenses,($166.67),2/12/2013,Double credit for hotel booking by C. Stevendon
Councillor Tim Stevenson,Travel & Training Expenses,$687.72 ,3/6/2013,"Travel & Training: FCM Conference Vancouver, May 31-Jun 3/13 (registration)"
Councillor Tim Stevenson,Travel & Training Expenses,$10.90 ,3/9/2013,"TCV#CLRTS53:  FCM Board Meeting, Prince George, Mar 6-9/13 (Shuttle)"
Councillor Tim Stevenson,Travel & Training Expenses,$76.31 ,3/9/2013,"TCV#CLRTS53:  FCM Board Meeting, Prince George, Mar 6-9/13 (Parking)"
Councillor Tim Stevenson,Travel & Training Expenses,$134.56 ,3/9/2013,"TCV#CLRTS53: FCM Board Meeting - Prince George, BC: Mar 6-9 (Other Expenses)"
Councillor Tim Stevenson,Travel & Training Expenses,$348.72 ,3/10/2013,"TCV#CLRTS53:  FCM Board Meeting, Prince George, Mar 6-9/13 (Accommodations)"
,Travel & Training Expenses Total,"$1,776.88 ",,
Councillor Tony Tang,Business and Event Expenses,$60.00 ,1/3/2013,Community Event:  Lions International Fundraising Gala - Jan 26/2013
Councillor Tony Tang,Business and Event Expenses,$238.00 ,1/3/2013,Community Event: 2013 Bridge to S.U.C.C.E.S.S. Gala Dinner Mar 16/13
Councillor Tony Tang,Business and Event Expenses,$35.00 ,1/3/2013,Community Event: 2013 Chinatown Spring Festival Gala Admission Feb 17/13
Councillor Tony Tang,Business and Event Expenses,($65.00),2/15/2013,Community Event: An Evening Honouring Fred May - M
Councillor Tony Tang,Business and Event Expenses,$65.00 ,2/15/2013,Community Event: An Evening Honouring Fred May - March 9/2013
Councillor Tony Tang,Business and Event Expenses,$65.00 ,2/15/2013,Community Event:  An Evening Honouring Fred Mah - Mar 9/13
,Business and Event Expenses Total,$398.00 ,,
Councillor Tony Tang,Travel & Training Expenses,$687.72 ,3/6/2013,"Travel & Training: FCM Conference Vancouver, May 31-Jun 3/13 (registration)"
,Travel & Training Expenses Total,$687.72 ,,
